city,deals
San Francisco,2903
New York,2326
Palo Alto,685
Seattle,619
Mountain View,602
Boston,586
Austin,565
Cambridge,545
San Diego,474
Waltham,472
San Jose,443
San Mateo,437
Los Angeles,418
Sunnyvale,407
Chicago,389
Santa Clara,386
Redwood City,385
Menlo Park,303
Atlanta,281
Washington,274
Irvine,218
Santa Monica,198
Denver,191
Pittsburgh,190
Portland,189
Boulder,189
Nashville,179
Houston,158
Dallas,150
Woburn,144
Bellevue,142
Fremont,131
St Louis,123
Brooklyn,120
Salt Lake City,117
Durham,117
Miami,114
South San Francisco,107
Philadelphia,107
Minneapolis,106
Lexington,103
Campbell,101
Burlington,101
Wilmington,98
Raleigh,96
Cleveland,95
Baltimore,94
Madison,92
Reston,88